# x,y,type
-0.357,21.560,0
0.357,18.440,1
1.897,22.033,0
2.498,18.890,1
4.148,22.419,0
4.625,19.255,1
6.388,22.709,0
6.729,19.527,1
8.608,22.896,0
8.800,19.702,1
10.802,22.972,0
10.830,19.772,1
12.960,22.932,0
12.809,19.735,1
15.074,22.769,0
14.731,19.588,1
17.136,22.480,0
16.587,19.327,1
19.138,22.059,0
18.370,18.953,1
21.071,21.505,0
20.074,18.464,1
22.926,20.816,0
21.694,17.863,1
24.694,19.993,0
23.224,17.150,1
26.366,19.037,0
24.662,16.329,1
27.934,17.953,0
26.002,15.402,1
29.390,16.745,0
27.241,14.375,1
30.727,15.422,0
28.376,13.250,1
31.937,13.991,0
29.405,12.034,1
33.015,12.462,0
30.323,10.733,1
33.957,10.847,0
31.127,9.354,1
34.760,9.156,0
31.814,7.907,1
35.420,7.402,0
32.381,6.400,1
35.935,5.597,0
32.825,4.844,1
36.304,3.753,0
33.144,3.250,1
36.526,1.883,0
33.336,1.631,1
36.600,0.000,0
33.400,0.000,1
36.526,-1.883,0
33.336,-1.631,1
36.304,-3.753,0
33.144,-3.250,1
35.935,-5.597,0
32.825,-4.844,1
35.420,-7.402,0
32.381,-6.400,1
34.760,-9.156,0
31.814,-7.907,1
33.957,-10.847,0
31.127,-9.354,1
33.015,-12.462,0
30.323,-10.733,1
31.937,-13.991,0
29.405,-12.034,1
30.727,-15.422,0
28.376,-13.250,1
29.390,-16.745,0
27.241,-14.375,1
27.934,-17.953,0
26.002,-15.402,1
26.366,-19.037,0
24.662,-16.329,1
24.694,-19.993,0
23.224,-17.150,1
22.926,-20.816,0
21.694,-17.863,1
21.071,-21.505,0
20.074,-18.464,1
19.138,-22.059,0
18.370,-18.953,1
17.136,-22.480,0
16.587,-19.327,1
15.074,-22.769,0
14.731,-19.588,1
12.960,-22.932,0
12.809,-19.735,1
10.802,-22.972,0
10.830,-19.772,1
8.608,-22.896,0
8.800,-19.702,1
6.388,-22.709,0
6.729,-19.527,1
4.148,-22.419,0
4.625,-19.255,1
1.897,-22.033,0
2.498,-18.890,1
-0.357,-21.560,0
0.357,-18.440,1
-2.605,-21.007,0
-1.790,-17.912,1
-4.840,-20.382,0
-3.933,-17.313,1
-7.053,-19.695,0
-6.063,-16.652,1
-9.237,-18.953,0
-8.171,-15.936,1
-11.384,-18.166,0
-10.247,-15.174,1
-13.486,-17.340,0
-12.283,-14.375,1
-15.534,-16.484,0
-14.270,-13.545,1
-17.523,-15.606,0
-16.200,-12.692,1
-19.444,-14.711,0
-18.064,-11.824,1
-21.291,-13.806,0
-19.854,-10.946,1
-23.057,-12.896,0
-21.562,-10.066,1
-24.737,-11.985,0
-23.181,-9.189,1
-26.324,-11.078,0
-24.703,-8.319,1
-27.815,-10.177,0
-26.121,-7.462,1
-29.203,-9.283,0
-27.428,-6.620,1
-30.485,-8.396,0
-28.618,-5.798,1
-31.659,-7.516,0
-29.683,-4.999,1
-32.721,-6.639,0
-30.617,-4.228,1
-33.668,-5.761,0
-31.416,-3.488,1
-34.499,-4.874,0
-32.075,-2.785,1
-35.209,-3.968,0
-32.592,-2.126,1
-35.790,-3.032,0
-32.971,-1.518,1
-36.228,-2.057,0
-33.220,-0.966,1
-36.505,-1.042,0
-33.357,-0.467,1
-36.600,-0.000,0
-33.400,-0.000,1
-36.505,1.042,0
-33.357,0.467,1
-36.228,2.057,0
-33.220,0.966,1
-35.790,3.032,0
-32.971,1.518,1
-35.209,3.968,0
-32.592,2.126,1
-34.499,4.874,0
-32.075,2.785,1
-33.668,5.761,0
-31.416,3.488,1
-32.721,6.639,0
-30.617,4.228,1
-31.659,7.516,0
-29.683,4.999,1
-30.485,8.396,0
-28.618,5.798,1
-29.203,9.283,0
-27.428,6.620,1
-27.815,10.177,0
-26.121,7.462,1
-26.324,11.078,0
-24.703,8.319,1
-24.737,11.985,0
-23.181,9.189,1
-23.057,12.896,0
-21.562,10.066,1
-21.291,13.806,0
-19.854,10.946,1
-19.444,14.711,0
-18.064,11.824,1
-17.523,15.606,0
-16.200,12.692,1
-15.534,16.484,0
-14.270,13.545,1
-13.486,17.340,0
-12.283,14.375,1
-11.384,18.166,0
-10.247,15.174,1
-9.237,18.953,0
-8.171,15.936,1
-7.053,19.695,0
-6.063,16.652,1
-4.840,20.382,0
-3.933,17.313,1
-2.605,21.007,0
-1.790,17.912,1
